Field	2010	2011	2012	2013	2014olda	2014newa	2015
All surveyed fields	632652	626820	627243	633010	650738	666586	685397
Science and engineering	556532	560941	561418	570300	587161	601883	618008
Science	407291	414440	413033	417251	425148	437395	448654
Agricultural sciences	15656	16129	16234	16429	16947	17505	18610
Biological sciences	74928	75423	76447	76649	76029	78490	80096
Anatomy	849	762	700	527	535	554	594
Biochemistry	5308	5183	5245	4970	5025	5025	4793
Biology	17210	16911	16321	16004	16117	16697	16612
Biometry and epidemiology	6398	6786	7800	8478	8224	8326	8987
Biophysics	1072	1016	976	952	877	877	919
Botany and plant biology	1863	1915	1852	1878	1877	1877	1869
Cell and molecular biology	7047	6905	6799	6543	6151	6214	6450
Ecology	1828	1713	1667	1437	1416	1416	1302
Entomology and parasitology	1116	1119	1187	1278	1304	1304	1285
Genetics	2333	2403	2342	2315	2375	2411	2412
Microbiology, immunology, and virology	4896	5031	4950	4961	4654	4670	4571
Nutrition	5548	5345	5336	5387	5583	5868	5705
Pathology	1376	1313	1196	1112	1036	1036	1046
Pharmacology and toxicology	3101	3053	3088	2979	2916	2916	2817
Physiology	2879	3000	3046	3224	3303	3415	3795
Zoology	896	1060	1083	1188	1046	1093	998
Biosciences nec	11208	11908	12859	13416	13590	14791	15941
Communication	9825	11029	11010	11114	11382	11942	11759
Computer sciences	51546	51234	51789	56339	68766	76546	86192
Earth, atmospheric, and ocean sciences	15655	15820	16069	15816	15423	15710	15447
Atmospheric sciences	1455	1513	1546	1534	1455	1466	1387
Geosciences	8251	8361	8659	8754	8809	8821	8876
Ocean sciences	2556	2680	2642	2682	2508	2666	2574
Earth, atmospheric, and ocean sciences nec	3393	3266	3222	2846	2651	2757	2610
Family and consumer sciences and human sciences	4191	4509	4110	4014	4180	4302	4134
Mathematics and statistics	23136	23801	24575	24804	25502	25874	26444
Mathematics and applied mathematics	17589	18157	18577	18323	18592	18863	18737
Statistics	5547	5644	5998	6481	6910	7011	7707
Multidisciplinary and interdisciplinary studies	7944	6537	6038	5892	6417	7196	8138
Neurobiology and neuroscience	2798	4117	4547	4795	4923	4923	5002
Physical sciences	38973	39694	39928	40019	40196	40332	40386
Astronomy and astrophysics	1331	1345	1278	1250	1241	1241	1273
Chemistry	22436	22802	23117	22949	22892	22936	22840
Physics	14507	14829	14940	15239	15490	15564	15609
Physical sciences nec	699	718	593	581	573	591	664
Psychology	53419	54486	54117	54102	50938	48833	49740
Clinical psychology	12155	10468	9971	9909	9212	8781	8779
Psychology, general	14022	17326	17073	15960	15513	12643	12716
Psychology nec	27242	26692	27073	28233	26213	27409	28245
Social sciences	109220	111661	108169	107278	104445	105742	102706
Agricultural economics	2180	2095	2045	1916	1931	1931	2056
Anthropology	8528	8406	8247	8172	7914	7955	7625
Economics (except agricultural)	14317	14920	14959	14819	14509	14604	14299
Geography	5059	5188	5016	4891	4792	4810	4434
History and philosophy of science	705	597	508	391	365	371	379
Linguistics	3132	3219	3256	3509	3489	3489	3370
Political science and government	45045	49660	48855	48411	47388	47370	45781
Sociology	9883	9671	8887	8960	8552	8637	8272
Sociology and anthropology	329	288	270	228	197	197	207
Social sciences nec	20042	17617	16126	15981	15308	16378	16283
Engineering	149241	146501	148385	153049	162013	164488	169354
Aerospace engineering	5540	5691	5069	5181	5116	5116	5345
Agricultural engineering	1457	1656	1552	1642	1717	1740	1630
Architecture	6795	3111	2363	2176	1812	1817	1565
Biomedical engineering	8497	9175	9157	9198	9510	9510	9761
Chemical engineering	8668	8828	9222	9698	9853	9870	10008
Civil engineering	19559	19596	19922	20110	20660	20789	20978
Electrical engineering	41336	41580	42347	45562	50051	51909	52940
Engineering science, mechanics, and physics	2071	2101	2227	2142	2151	2162	1708
Industrial and manufacturing engineering	15205	14494	14469	14363	14659	14845	16284
Mechanical engineering	22509	21883	23088	24087	25508	25651	27314
Metallurgical and materials engineering	6274	6649	6985	7144	7473	7518	7741
Mining engineering	419	500	356	357	396	396	407
Nuclear engineering	1459	1499	1513	1459	1467	1467	1449
Petroleum engineering	1295	1301	1525	1609	2056	2056	2021
Engineering nec	8157	8437	8590	8321	9584	9642	10203
Health	76120	65879	65825	62710	63577	64703	67389
Clinical medicine	25699	26634	26798	26362	26914	27048	28606
Anesthesiology	325	8	3	7	17	17	26
Cardiovascular science	51	61	44	32	28	28	36
Endocrinology	53	56	52	42	45	45	47
Gastroenterology	7	7	2	0	0	0	0
Hematology	6	1	5	1	0	0	0
Neurology	1056	219	171	0	0	0	0
Obstetrics and gynecology	79	100	91	68	18	18	16
Oncology and cancer research	232	255	248	103	51	51	32
Ophthalmology	5	2	2	0	36	36	0
Otorhinolaryngology	4	2	2	1	0	0	0
Pediatrics	211	132	125	0	0	0	0
Preventive medicine and community health	20445	23001	23700	23909	24285	24369	25608
Psychiatry	260	88	100	0	0	0	0
Pulmonary disease	12	14	12	11	0	0	0
Radiology	396	339	335	201	117	149	140
Surgery	59	30	35	8	5	5	5
Clinical medicine nec	2498	2319	1871	1979	2312	2330	2696
Other health	50421	39245	39027	36348	36663	37655	38783
Communication disorders sciences	14645	14203	13918	14113	14331	14826	15214
Dental sciences	1661	1764	1707	1914	1877	1877	1854
Nursing science	12107	7269	7449	4969	4784	4824	5388
Pharmaceutical sciences	4291	4056	4256	4137	4293	4419	4464
Veterinary sciences	2211	1894	1794	1919	1979	1979	2054
Other health nec	15506	10059	9903	9296	9399	9730	9809